Author,Year,User Rating,Reviews,Name,Price,Genre
Bruce Springsteen,2016,4.7,3729,Born to Run,18.0,Non Fiction
Carol S. Dweck,2014,4.6,5542,Mindset: The New Psychology of Success,10.0,Non Fiction
Carol S. Dweck,2015,4.6,5542,Mindset: The New Psychology of Success,10.0,Non Fiction
Carol S. Dweck,2016,4.6,5542,Mindset: The New Psychology of Success,10.0,Non Fiction
Celeste Ng,2018,4.5,25706,Little Fires Everywhere,12.0,Fiction
Charlaine Harris,2009,4.6,1541,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),4.0,Fiction
Charlaine Harris,2009,4.7,973,Sookie Stackhouse,25.0,Fiction
Charlaine Harris,2010,4.3,1924,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",8.0,Fiction
Charlaine Harris,2011,4.2,2094,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",4.0,Fiction
Charles Duhigg,2012,4.6,10795,The Power of Habit: Why We Do What We Do in Life and Business,21.0,Non Fiction
Charles Krauthammer,2013,4.7,7034,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",15.0,Non Fiction
Cheryl Strayed,2012,4.4,17044,Wild: From Lost to Found on the Pacific Crest Trail,18.0,Non Fiction
Chip Gaines,2016,4.9,7861,The Magnolia Story,5.0,Non Fiction
Chip Heath,2010,4.6,1907,Switch: How to Change Things When Change Is Hard,13.0,Non Fiction
Chris Cleave,2010,4.1,1467,Little Bee: A Novel,10.0,Fiction
Chris Kyle,2015,4.6,15921,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,9.0,Non Fiction
Chrissy Teigen,2016,4.7,4761,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,16.0,Non Fiction
Christina Baker Kline,2014,4.6,21930,Orphan Train,11.0,Fiction
Christopher Paolini,2011,4.6,5299,Inheritance: Book IV (Inheritance Cycle),20.0,Fiction
Coloring Books for Adults,2015,4.5,2426,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",8.0,Non Fiction
Craig Smith,2018,4.8,30183,The Wonky Donkey,4.0,Fiction
Craig Smith,2019,4.8,30183,The Wonky Donkey,4.0,Fiction
Crispin Boyer,2019,4.8,5347,"National Geographic Kids Why?: Over 1,111 Answers to Everything",16.0,Non Fiction
DK,2014,4.5,2586,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,5.0,Fiction
DK,2015,4.6,5360,Baby Touch and Feel: Animals,5.0,Non Fiction
Dale Carnegie,2014,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
Dale Carnegie,2015,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
Dale Carnegie,2016,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
Dale Carnegie,2017,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
Dale Carnegie,2018,4.7,25001,How to Win Friends & Influence People,11.0,Non Fiction
Dan Brown,2009,4.2,8747,The Lost Symbol,19.0,Fiction
Dan Brown,2013,4.1,29651,Inferno,14.0,Fiction
Dan Brown,2017,4.3,18904,Origin: A Novel (Robert Langdon),13.0,Fiction
Daniel H. Pink,2010,4.5,2525,Drive: The Surprising Truth About What Motivates Us,16.0,Non Fiction
Daniel James Brown,2014,4.8,23358,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,12.0,Non Fiction
Daniel James Brown,2015,4.8,23358,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,12.0,Non Fiction
Daniel Kahneman,2011,4.6,11034,"Thinking, Fast and Slow",19.0,Non Fiction
Daniel Kahneman,2012,4.6,11034,"Thinking, Fast and Slow",19.0,Non Fiction
Daniel Lipkowitz,2011,4.4,4247,The Lego Ideas Book: Unlock Your Imagination,13.0,Non Fiction
Daniel Lipkowitz,2012,4.4,4247,The Lego Ideas Book: Unlock Your Imagination,13.0,Non Fiction
Dav Pilkey,2017,4.9,4786,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),8.0,Fiction
Dav Pilkey,2018,4.9,5062,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),6.0,Fiction
Dav Pilkey,2018,4.9,5470,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),6.0,Fiction
Dav Pilkey,2018,4.9,7235,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.0,Fiction
Dav Pilkey,2019,4.9,7235,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.0,Fiction
Dav Pilkey,2019,4.9,9089,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),8.0,Fiction
Dav Pilkey,2019,4.9,12619,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),8.0,Fiction
Dave Ramsey,2019,4.7,11550,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,10.0,Non Fiction
David Goggins,2019,4.8,16244,Can't Hurt Me: Master Your Mind and Defy the Odds,18.0,Non Fiction
David Grann,2017,4.6,8393,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,17.0,Non Fiction
David McCullough,2015,4.7,6169,The Wright Brothers,16.0,Non Fiction
David Perlmutter MD,2014,4.6,5972,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",10.0,Non Fiction
David Platt,2010,4.7,1985,Radical: Taking Back Your Faith from the American Dream,9.0,Non Fiction
David Platt,2011,4.7,1985,Radical: Taking Back Your Faith from the American Dream,9.0,Non Fiction
David Zinczenko,2009,4.3,956,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",14.0,Non Fiction
